DEPARTAMENTO,ANO,TECNICA PROFESIONAL,TECNOLOGICA,UNIVERSITARIA,ESPECIALIZACION,MAESTRIA,DOCTORADO
BOGOTA D.C.,2011,47183,120114,359741,30380,14210,1395
BOYACA,2011,50,11332,35187,3776,670,28
CUNDINAMARCA,2011,321,21148,28099,2053,691,9
NORTE DE SANTANDER,2011,916,12389,44644,1225,323,0
SANTANDER,2011,3137,39234,59313,14920,1124,66
BOGOTA D.C.,2012,46763,129517,381539,29105,15819,1538
BOYACA,2012,130,12760,38049,4357,726,84
CUNDINAMARCA,2012,391,24208,30615,1763,722,13
NORTE DE SANTANDER,2012,712,11527,41101,913,318,0
SANTANDER,2012,1701,38388,61730,20233,1382,65
BOGOTA D.C.,2013,39971,150728,413636,30151,17636,1758
BOYACA,2013,671,14276,38989,5883,1090,96
CUNDINAMARCA,2013,1215,29408,32971,1649,687,20
NORTE DE SANTANDER,2013,1124,12486,45342,1240,529,0
SANTANDER,2013,1702,45152,63401,15407,3028,88
BOGOTA D.C.,2014,42224,160226,442999,39324,21581,1891
BOYACA,2014,1152,13814,41222,2845,1231,99
CUNDINAMARCA,2014,1665,33495,35131,1781,1403,27
NORTE DE SANTANDER,2014,1087,14321,47201,1336,683,0
SANTANDER,2014,3539,44753,64660,14734,4982,96
BOGOTA D.C.,2015,39403,162508,465501,41576,23115,2210
BOYACA,2015,605,13838,42912,3500,1341,111
CUNDINAMARCA,2015,671,33553,38910,2018,1849,33
NORTE DE SANTANDER,2015,1125,13556,51235,1155,514,0
SANTANDER,2015,3387,46485,65996,8967,4565,123
AMAZONAS,2010,60,758,311,17,0,0
CAQUETA,2010,882,1078,6729,102,23,0
HUILA,2010,956,7384,19313,730,116,0
PUTUMAYO,2010,123,3160,623,3,0,0
TOLIMA,2010,1967,12007,19985,363,84,0
AMAZONAS,2011,0,665,307,27,27,0
CAQUETA,2011,186,1280,8017,185,86,0
HUILA,2011,425,7630,21668,740,117,0
PUTUMAYO,2011,0,3162,1178,92,0,0
TOLIMA,2011,3042,14463,23370,477,169,0
AMAZONAS,2012,0,642,231,13,27,0
CAQUETA,2012,128,1137,8108,174,132,0
HUILA,2012,473,8174,23671,633,129,0
PUTUMAYO,2012,8,2537,1334,36,0,0
TOLIMA,2012,3190,14821,25510,299,105,0
AMAZONAS,2013,82,292,329,10,17,3
CAQUETA,2013,171,1493,8152,232,124,0
HUILA,2013,717,10158,23338,892,104,0
PUTUMAYO,2013,119,2422,1127,78,1,0
TOLIMA,2013,3760,14703,27623,1170,432,10
AMAZONAS,2014,88,204,329,14,15,6
CAQUETA,2014,296,1440,8830,167,176,0
HUILA,2014,1035,10042,23704,854,272,0
PUTUMAYO,2014,273,3221,1405,105,0,0
TOLIMA,2014,3907,16573,28626,911,434,10
AMAZONAS,2015,40,272,237,17,28,8
CAQUETA,2015,248,1668,9154,244,217,16
HUILA,2015,1101,11433,24301,768,422,7
