"","departamento","anio","proy","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","acr_tecp","acr_tecn","acr_univ","acr_espe","acr_maes","acr_doct","cobertura","gra_tecp","gra_tecn","gra_univ","gra_espe","gra_maes","gra_doct","oficial","privada"
"130","SANTANDER",2014,2051022," 2848","  249"," 1549","  949","   56","   45"," 3490","   11"," 3119","    3","  357","15829"," 1020","14809"," 1119","  733","   86","  161","  139"," 9242"," 3210"," 6032"," 4342"," 2775","  496"," 1071"," 3442"," 2138","   45","   67","  239","  953"," 6132"," 1155"," 2991"," 1986"," 4989"," 1751","  574","  983","  838","  387","  115","  341","51433"," 9959","61392",752,2.812,40.157,2.788,1.399,96,0.609,665,6.207,9.276,6.155,354,5,68.259,64.505
"131","SUCRE",2010,810664," 555","   0"," 209"," 303","  13","  30","  36","   0","  24","   0","  12"," 351","  82"," 269"," 181"," 119","  18","  23","  21"," 257"," 143"," 114"," 655"," 350","  27"," 278"," 284","  81","   1","   4","  83"," 115"," 371"," 123"," 139"," 109","1324"," 533","  35"," 383"," 270","  52","  22","  29","4014"," 206","4220",0,0,710,26,0,0,0.17,767,122,1.589,544,1,0,7.539,7.095
"132","SUCRE",2011,818689," 584","   0"," 228"," 312","  13","  31","  43","   0","  30","   0","  13"," 376","  85"," 291"," 196"," 128","  20","  25","  23"," 291"," 166"," 125"," 729"," 398","  29"," 302"," 311","  84","   1","   4"," 100"," 122"," 396"," 133"," 149"," 114","1507"," 602","  40"," 453"," 303","  56","  23","  30","4433"," 243","4676",0,216,691,74,0,0,0.207,132,461,1.422,557,0,0,7.694,10.541
"133","SUCRE",2012,826780," 657","   0"," 266"," 343","  15","  33","  50","   0","  36","   0","  14"," 396","  93"," 303"," 209"," 140","  21","  25","  23"," 362"," 220"," 142"," 776"," 402","  33"," 341"," 331","  82","   1","   3"," 102"," 143"," 430"," 148"," 158"," 124","1700"," 680","  44"," 512"," 348","  60","  24","  32","4911"," 266","5177",0,184,868,49,0,0,0.192,889,515,1.457,543,0,0,6.903,9.984
"134","SUCRE",2013,834937," 655","   0"," 278"," 330","  15","  32","  59","   0","  41","   0","  18"," 423","  99"," 324"," 224"," 149","  24","  26","  25"," 478"," 266"," 212"," 842"," 428","  35"," 379"," 347","  85","   1","   3"," 111"," 147"," 457"," 159"," 166"," 132","1849"," 760","  49"," 522"," 395","  63","  26","  34","5334"," 276","5610",215,116,1.123,44,0,0,0.217,141,528,1.833,644,0,0,7.453,11.883
"135","SUCRE",2014,843202," 659","   0"," 260"," 342","  17","  40","  61","   0","  41","   0","  20"," 403","  97"," 306"," 240"," 162","  25","  28","  25"," 591"," 438"," 153"," 914"," 457","  40"," 417"," 382","  93","   1","   4"," 125"," 159"," 494"," 172"," 176"," 146","2041"," 850","  53"," 565"," 442","  67","  28","  36","5785"," 315","6100",460,242,1.703,3,0,0,0.241,475,454,1.326,250,0,0,8.361,12.67
"136","TOLIMA",2010,1387621," 1755","  458","  959","  292","   23","   23"," 1492","    0"," 1422","   18","   52"," 1010","  321","  689","  345","  222","   45","   40","   38","  843","  446","  397"," 1355","  687","  134","  534","  864","  375","    0","    1","   79","  409"," 1376","  352","  461","  563"," 2427","  993","  126","  520","  345","  340","   47","   56","11467","  613","12080",0,0,4.494,0,0,0,0.256,1.318,1.075,3.499,1.59,56,0,22.605,11.801
"137","TOLIMA",2011,1391876," 2062","  560"," 1131","  320","   24","   27"," 1835","    0"," 1766","   13","   56"," 1155","  350","  805","  373","  249","   46","   41","   37","  918","  479","  439"," 1470","  751","  139","  580","  885","  367","    0","    2","   90","  426"," 1482","  385","  493","  604"," 2660"," 1094","  134","  569","  380","  374","   48","   61","12840","  767","13607",0,0,4.407,0,0,0,0.308,762,2.787,4.113,804,31,1,27.745,13.776
"138","TOLIMA",2012,1396038," 1878","  420"," 1087","  312","   30","   29"," 1981","    0"," 1901","   13","   67"," 1286","  366","  920","  379","  249","   51","   40","   39"," 1101","  577","  524"," 1576","  772","  156","  648","  894","  364","    0","    2","  101","  427"," 1593","  422","  520","  651"," 2949"," 1202","  152","  642","  430","  408","   51","   64","13637","  811","14448",0,0,5.653,45,57,0,0.328,1.396,2.703,5.304,892,153,1,30.064,13.861
"139","TOLIMA",2013,1400140," 2005","  555"," 1076","  314","   31","   29"," 1545","    0"," 1450","    9","   86"," 1383","  417","  966","  418","  277","   57","   43","   41"," 1676","  899","  777"," 1728","  847","  169","  712","  971","  390","    0","    1","  114","  466"," 1699","  455","  549","  695"," 3223"," 1336","  163","  700","  480","  422","   55","   67","14648","  734","15382",347,1,5.826,182,33,0,0.351,1.336,3.141,4.9,991,114,1,32.089,15.609
