departamento,anio,acr_tecp,acr_tecn,acr_univ,acr_espe,acr_maes,acr_doct
NORTE DE SANTANDER,2012,,0,1.24,73,0,
NORTE DE SANTANDER,2013,,11,3.372,130,0,
NORTE DE SANTANDER,2014,,9,2.724,196,50,
NORTE DE SANTANDER,2015,,6,2.865,202,47,
SANTANDER,2010,0,2.154,30.397,1.541,485,78
SANTANDER,2011,50,1.958,32.614,1.308,553,66
SANTANDER,2012,187,2.439,37.729,2.388,1.382,65
SANTANDER,2013,384,2.808,30.564,1.614,1.163,88
SANTANDER,2014,752,2.812,40.157,2.788,1.399,96
SANTANDER,2015,374,3.181,39.982,3.09,1.672,123
AMAZONAS,2010,0,4,19,0,0,0
AMAZONAS,2011,0,1,57,9,27,0
AMAZONAS,2012,0,0,65,4,27,0
AMAZONAS,2013,50,1,74,2,17,3
AMAZONAS,2014,50,1,66,2,14,6
AMAZONAS,2015,0,0,54,2,26,8
CAQUETA,2010,,,1.18,,,
CAQUETA,2011,,,1.295,,,
CAQUETA,2012,,,1.72,,,
CAQUETA,2013,,,1.194,,,
CAQUETA,2014,,,1.545,,,
CAQUETA,2015,,,1.9,,,
HUILA,2010,,0,4.014,0,32,
HUILA,2011,,0,4.252,0,26,
HUILA,2012,,0,5.998,0,29,
HUILA,2013,,1,6.113,66,0,
HUILA,2014,,0,5.073,130,0,
HUILA,2015,,0,5.607,185,18,
PUTUMAYO,2010,,,0,,,
PUTUMAYO,2011,,,348,,,
PUTUMAYO,2012,,,413,,,
PUTUMAYO,2013,,,328,,,
PUTUMAYO,2014,,,444,,,
PUTUMAYO,2015,,,298,,,
TOLIMA,2010,0,0,4.494,0,0,
TOLIMA,2011,0,0,4.407,0,0,
TOLIMA,2012,0,0,5.653,45,57,
TOLIMA,2013,347,1,5.826,182,33,
TOLIMA,2014,294,1,6.151,142,28,
TOLIMA,2015,160,1,8.374,202,25,
ANTIOQUIA,2010,532,22.284,78.01,4.908,2.983,610
ANTIOQUIA,2011,620,18.666,81.142,5.2,3.618,694
ANTIOQUIA,2012,184,18.412,93.643,5.103,3.761,784
ANTIOQUIA,2013,705,23.775,103.091,5.986,4.348,958
ANTIOQUIA,2014,419,23.122,105.756,5.923,4.675,1.129
ANTIOQUIA,2015,1.265,21.341,109.957,5.683,5.64,1.29
CALDAS,2010,1,1.903,18.071,515,666,76
CALDAS,2011,50,2.378,17.971,343,806,101
CALDAS,2012,45,2.246,18.711,392,778,124
CALDAS,2013,750,2.423,18.399,435,799,154
CALDAS,2014,1.489,2.061,19.848,496,953,183
CALDAS,2015,2.14,3.528,22.407,1.216,2.699,374
QUINDIO,2010,,0,1.715,20,22,
QUINDIO,2011,,0,2.435,197,41,
QUINDIO,2012,,0,3.861,200,29,
QUINDIO,2013,,1,3.902,233,0,
QUINDIO,2014,,2,3.42,259,21,
QUINDIO,2015,,0,2.954,449,32,
RISARALDA,2010,841,2.038,14.383,381,870,53
RISARALDA,2011,444,2.112,15.654,287,942,46
RISARALDA,2012,464,2.153,15.209,325,926,22
RISARALDA,2013,498,2.308,18.161,434,933,43
RISARALDA,2014,581,2.581,18.309,441,909,61
RISARALDA,2015,666,2.467,19.264,547,1.125,67
ARAUCA,2010,,0,0,0,,
ARAUCA,2011,,0,0,0,,
ARAUCA,2012,,0,0,0,,
ARAUCA,2013,,0,0,0,,
ARAUCA,2014,,2,19,10,,
ARAUCA,2015,,1,16,0,,
CASANARE,2010,0,167,327,0,0,
CASANARE,2011,0,111,227,0,0,
CASANARE,2012,0,82,873,0,0,
CASANARE,2013,0,47,1.092,7,17,
CASANARE,2014,0,42,1.186,17,26,
CASANARE,2015,11,65,1.23,51,49,
GUAINIA,2010,,1,30,,,
GUAINIA,2011,,0,19,,,
GUAINIA,2012,,0,121,,,
GUAINIA,2013,,0,132,,,
GUAINIA,2014,,0,127,,,
GUAINIA,2015,,0,113,,,
GUAVIARE,2010,,,0,,,
GUAVIARE,2011,,,0,,,
GUAVIARE,2012,,,97,,,
GUAVIARE,2013,,,80,,,
GUAVIARE,2014,,,89,,,
GUAVIARE,2015,,,95,,,
META,2010,0,32,1.753,0,0,
META,2011,0,27,1.745,0,0,
META,2012,0,17,2.485,48,0,
META,2013,199,32,3.705,114,37,
